key	de	en	fr	it
smartFolder.default.all	Alle Artikel	All articles	Tous les articles	Tutti gli articoli
smartFolder.default.unread	Ungelesen	Unread	Non lus	Non letti
smartFolder.default.starred	Mit Stern	Starred	Favoris	Preferiti
smartFolder.default.today	Heute	Today	Aujourd'hui	Oggi
smartFolder.default.hidden	Ausgeblendet	Hidden	Masqués	Nascosti
smartFolder.default.archived	Archiviert	Archived	Archivés	Archiviati
smartFolder.default.thisWeek	Diese Woche	This week	Cette semaine	Questa settimana
smartFolder.default.saved	Gespeichert	Saved	Enregistrés	Salvati
